IDCode,index,narrative_gmm_bic_best_label,narrative_best_label
paxi044,0,1,1
pivi588,1,5,5
weda047,2,5,5
zoka501,3,7,7
hyku415,4,6,6
syvi476,5,4,4
kuqy630,6,6,6
node314,7,1,1
mybu425,8,3,3
pyqy867,9,0,0
tywo507,10,2,2
nuhi137,11,4,4
vuho146,12,8,8
nysa238,13,1,1
kisa730,14,3,3
doza768,15,1,1
sapu497,16,1,1
dila385,17,3,3
pymu787,18,1,1
bejy525,19,6,6
bajo794,20,3,3
dugu064,21,1,1
hiwu738,22,0,0
zucy684,23,5,5
huxe147,24,1,1
woza563,25,8,8
neku787,26,3,3
navo572,27,1,1
gola051,28,6,6
pyzo535,29,8,8
xoky149,30,6,6
loxu319,31,5,5
qisu640,32,1,1
gery678,33,4,4
huho039,34,5,5
wozo826,35,1,1
soru820,36,8,8
fari709,37,7,7
qapo730,38,1,1
najy705,39,7,7
sejy814,40,0,0
laze716,41,3,3
kojo378,42,4,4
tepu554,43,2,2
dyva324,44,1,1
pusu302,45,8,8
xamy888,46,7,7
ninu744,47,4,4
punu537,48,6,6
zufa556,49,7,7
losy787,50,1,1
fuxa711,51,1,1
myzo000,52,3,3
jygo886,53,1,1
dyzo734,54,1,1
ciky680,55,5,5
nopo152,56,7,7
tivy194,57,4,4
biry098,58,1,1
tebo981,59,5,5
jyma323,60,6,6
cani065,61,0,0
puxi257,62,1,1
jemy201,63,6,6
woqa919,64,6,6
huze427,65,4,4
jaxe723,66,2,2
xamy676,67,1,1
lowy720,68,6,6
mixa281,69,1,1
sipy389,70,4,4
bube109,71,3,3
boqe999,72,9,9
guzo911,73,6,6
guxe800,74,3,3
dove442,75,3,3
zivi062,76,7,7
lury747,77,1,1
tuve726,78,6,6
vihu826,79,5,5
hata313,80,1,1
hoki309,81,1,1
kyzy131,82,1,1
syti148,83,3,3
syco853,84,5,5
sefy975,85,7,7
jese656,86,0,0
guge611,87,1,1
mesi806,88,8,8
sesi698,89,0,0
gopa505,90,6,6
duwi894,91,0,0
hasa034,92,1,1
pile112,93,5,5
sivi804,94,1,1
maho931,95,1,1
waho571,96,7,7
mowy859,97,8,8
rihi168,98,8,8
siry766,99,3,3
qefe646,100,1,1
zojo883,101,0,0
dero258,102,9,9
mika525,103,7,7
xohi599,104,2,2
tebe135,105,8,8
naso669,106,4,4
qecu035,107,5,5
zywy107,108,6,6
cave700,109,1,1
nupy082,110,5,5
hoge626,111,5,5
nivo041,112,5,5
karo919,113,1,1
vuhe805,114,3,3
kebi083,115,6,6
faly535,116,1,1
gelo627,117,1,1
vili771,118,0,0
katu927,119,3,3
xiza150,120,4,4
bevi590,121,2,2
huve181,122,1,1
fite050,123,9,9
nysu060,124,2,2
kaho190,125,6,6
lany944,126,9,9
maqu534,127,6,6
wuga870,128,6,6
wyva352,129,6,6
hime464,130,3,3
jexu775,131,3,3
tuga736,132,1,1
hyfe498,133,4,4
bomo360,134,0,0
lomo204,135,0,0
mipe544,136,6,6
hufy497,137,9,9
rapo919,138,3,3
gata076,139,8,8
muvo194,140,8,8
cywo537,141,3,3
xamy327,142,6,6
cogu074,143,5,5
rapo615,144,8,8
zady580,145,8,8
nujo284,146,6,6
syzu625,147,6,6
myte214,148,3,3
tyzo440,149,8,8
vyzo298,150,9,9
hiwu589,151,1,1
sazy810,152,0,0
turi097,153,3,3
foji729,154,6,6
dexe201,155,0,0
dosu709,156,5,5
doxe392,157,8,8
culu497,158,6,6
lije367,159,5,5
vice024,160,9,9
kapy740,161,0,0
vudi262,162,1,1
tuza510,163,1,1
tubo945,164,5,5
bofi323,165,6,6
zeji633,166,8,8
bowo488,167,1,1
pipo687,168,8,8
core934,169,3,3
dedu084,170,1,1
lowa532,171,1,1
zuha759,172,8,8
qafu966,173,8,8
lobo127,174,6,6
homa046,175,8,8
keno764,176,7,7
habe142,177,3,3
joti731,178,9,9
reve265,179,6,6
cyca115,180,5,5
rawo522,181,0,0
pogi169,182,5,5
vepi727,183,3,3
risy585,184,7,7
fefu774,185,9,9
wyxo615,186,0,0
ciby707,187,5,5
xuvy948,188,5,5
ravy196,189,0,0
loge702,190,3,3
viry492,191,6,6
gowa049,192,0,0
vyva107,193,3,3
duxo262,194,2,2
peto053,195,5,5
difi858,196,5,5
xoru423,197,6,6
wizy437,198,0,0
kuge219,199,5,5
hazu473,200,3,3
gono087,201,6,6
vury347,202,3,3
copo281,203,1,1
heda014,204,0,0
powu461,205,5,5
peqa279,206,0,0
lufy687,207,1,1
koze985,208,5,5
hadi890,209,3,3
recu163,210,5,5
xyzi642,211,5,5
nejy388,212,8,8
tezy480,213,6,6
nawu690,214,3,3
mofe780,215,8,8
nily317,216,8,8
roho333,217,1,1
xime971,218,1,1
muqo157,219,8,8
riby296,220,7,7
pala257,221,3,3
tuby409,222,6,6
hoxo855,223,1,1
qixy634,224,5,5
niri091,225,3,3
lazi600,226,2,2
qedo478,227,1,1
ruhu758,228,5,5
cima563,229,5,5
lyzy104,230,1,1
xafy802,231,3,3
bacy598,232,4,4
kexi927,233,4,4
cumo221,234,0,0
kami789,235,1,1
zoko875,236,2,2
sina926,237,6,6
fise899,238,6,6
cija437,239,2,2
manu258,240,5,5
zuwa573,241,0,0
joxi410,242,1,1
muta539,243,9,9
reqy562,244,5,5
doxe492,245,0,0
gylu244,246,7,7
maxy370,247,0,0
ryko512,248,5,5
kula014,249,0,0
jeqy595,250,1,1
guva627,251,2,2
lohy238,252,5,5
cobi870,253,6,6
giki066,254,9,9
hywy001,255,6,6
feji918,256,5,5
luli756,257,3,3
wumu083,258,5,5
cyga680,259,2,2
buvy316,260,6,6
rejy122,261,5,5
dusi300,262,5,5
howe436,263,5,5
ropi792,264,9,9
jemy300,265,2,2
qexo432,266,3,3
kyso927,267,5,5
cozi663,268,4,4
vani542,269,3,3
kaxu871,270,0,0
moku835,271,2,2
cahe192,272,9,9
feso129,273,2,2
tufa140,274,9,9
zigi489,275,7,7
dahi696,276,9,9
quhe482,277,4,4
taxa827,278,6,6
vuga321,279,6,6
nycu731,280,9,9
raxy329,281,6,6
nyfe489,282,5,5
texu966,283,7,7
kifo712,284,4,4
pajo050,285,6,6
hefy659,286,4,4
tujy672,287,6,6
cyfe247,288,4,4
xori482,289,6,6
raje697,290,0,0
biwu043,291,6,6
cylu852,292,6,6
fode209,293,6,6
woju333,294,6,6
saca329,295,0,0
jizi110,296,3,3
vyxi492,297,5,5
xehy451,298,6,6
feke878,299,1,1
rozu771,300,6,6
duvi856,301,5,5
nexu635,302,3,3
cozi454,303,1,1
saze236,304,6,6
quzy338,305,3,3
lula174,306,0,0
buzo685,307,1,1
huby293,308,5,5
dyhi182,309,6,6
tatu362,310,5,5
bene344,311,3,3
keho061,312,1,1
vyxy108,313,3,3
zusa663,314,0,0
nehe056,315,5,5
myve834,316,5,5
tyhy481,317,1,1
sati762,318,3,3
biku776,319,1,1
wify666,320,0,0
sony276,321,0,0
tusi463,322,3,3
baco446,323,7,7
coni238,324,2,2
tuvu087,325,7,7
vuci475,326,6,6
seto741,327,4,4
jewe923,328,2,2
jaqy340,329,3,3
pubu440,330,4,4
gyjy255,331,6,6
zyte492,332,0,0
ruco451,333,6,6
loda300,334,6,6
moly152,335,7,7
cuba307,336,3,3
